finding_id,legacy_reference,source_document_id,source_document_name,source_page_or_location,deterministic_claim_id,exact_claim_text,resolution_method,match_count,confidence,disposition,rejection_reason,q3_eligible
db0fdb3b-8161-4ea7-afdb-d568780ce14c,,,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
ddb8fde1-2584-4d20-b4c3-3afdd9f9cbb6,,Numeric Verification Report,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
dfe22f4e-8313-431c-bf0c-b3b87241fff1,c4-1,SCG IC Screening Memo vS.pdf,,,,,unresolved_ambiguous,0,none,unresolved_rejected,"Ambiguous: same positional ID exists in multiple IC documents",false
e087ad67-46f1-45ff-a918-7acad23a1abb,,Project Saint - Financial Model_vs.xlsx,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
e2de290b-cef1-40c5-bbd4-5287c1655faa,,SCG - Project Saint - Financial Model_vS.xlsx,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
e52c5b6e-5c58-4869-853f-27d2cb540215,c1-6,2026-05-18 SCG - 2nd IC Memo vS.pdf,,,,,unresolved_ambiguous,0,none,unresolved_rejected,"Ambiguous: same positional ID exists in multiple IC documents",false
eb6b24ed-0558-463c-ba79-b0c85bb11d17,,,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
f46ae205-825d-4368-ac15-1a16e3963c99,c0-6,SCG - Project Saint-IM_vF.pdf (part 12),,,,,unresolved_ambiguous,0,none,unresolved_rejected,"Ambiguous: same positional ID exists in multiple IC documents",false
f89222b8-5093-4407-9e63-3504282314d6,c22-2,SCG - Project Saint-IM_vF.pdf (part 22),,,,,unresolved_ambiguous,0,none,unresolved_rejected,"Ambiguous: same positional ID exists in multiple IC documents",false
fc583588-a128-48b7-a79f-676742c837c8,,Project Saint - Financial Model_vS - updated for CT to Mar-26 vF.xlsx,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
fcb2e225-8899-48ec-b25b-13772fd279d6,,SCG - Project Saint - Vendor Financial Due Diligence Report - 28.11.2025.pdf (part 32),,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
feca0064-794b-4f4a-ba73-1b2568b8eab8,,Project Saint - Financial Model_VS.xlsx,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
ffa53ba3-e9a7-4303-9bc4-c1293b3298b9,,Numeric Verification Report,,,,,unresolved_missing_ref,0,none,unresolved_rejected,"No claim reference present on finding",false
